,choice_set,choice
0,"('C', 'D', 'F', 'I')",C
1,"('A', 'F')",F
2,"('A', 'B', 'G', 'I')",B
3,"('B', 'E', 'G', 'I')",E
4,"('E', 'I')",I
5,"('F', 'G', 'H')",H
6,"('A', 'H')",A
7,"('B', 'I')",B
8,"('C', 'E', 'F')",F
9,"('A', 'F', 'G', 'H')",A
10,"('B', 'E', 'F', 'I')",B
11,"('D', 'E', 'F', 'I')",I
12,"('B', 'C', 'E', 'F')",F
13,"('D', 'G')",D
14,"('C', 'E', 'G', 'I')",C
15,"('B', 'C', 'I')",I
16,"('B', 'I')",I
17,"('B', 'I')",B
18,"('A', 'E', 'F', 'I')",A
19,"('B', 'F', 'H', 'I')",F
20,"('C', 'D', 'E')",C
21,"('C', 'E', 'G')",G
22,"('A', 'B')",A
23,"('G', 'I')",I
24,"('A', 'C', 'F', 'H')",A
25,"('E', 'F')",E
26,"('A', 'B', 'C', 'D')",A
27,"('A', 'C', 'F', 'I')",C
28,"('A', 'C')",A
29,"('D', 'G', 'H')",H
30,"('B', 'C', 'E')",E
31,"('A', 'E', 'G')",E
32,"('F', 'I')",I
33,"('C', 'E', 'F', 'I')",F
34,"('A', 'G')",A
35,"('C', 'D', 'H')",H
36,"('A', 'B', 'D', 'F')",A
37,"('A', 'C')",A
38,"('E', 'I')",E
39,"('B', 'I')",B
40,"('F', 'G', 'H')",G
41,"('A', 'B', 'I')",B
42,"('A', 'C', 'I')",I
43,"('A', 'B', 'C', 'D')",B
44,"('A', 'D', 'I')",I
45,"('F', 'G')",F
46,"('C', 'I')",C
47,"('E', 'F')",E
48,"('G', 'H')",H
49,"('D', 'I')",I
50,"('B', 'G')",G
51,"('A', 'C', 'F', 'H')",C
52,"('C', 'E', 'F', 'G')",G
53,"('A', 'D', 'F', 'I')",A
54,"('B', 'G', 'H')",H
55,"('A', 'F', 'H')",A
56,"('C', 'E', 'I')",E
57,"('B', 'C', 'G', 'H')",B
58,"('A', 'D', 'H', 'I')",A
59,"('C', 'F')",F
60,"('G', 'I')",G
61,"('B', 'C', 'E')",E
62,"('A', 'B', 'C')",A
63,"('A', 'F', 'G')",G
64,"('B', 'C', 'D', 'G')",D
65,"('C', 'D', 'E', 'F')",F
66,"('C', 'E')",C
67,"('E', 'G', 'I')",E
68,"('C', 'D', 'E')",C
69,"('A', 'B', 'I')",A
70,"('B', 'C', 'E', 'I')",I
71,"('C', 'I')",C
72,"('A', 'E')",E
73,"('A', 'C', 'E')",C
74,"('B', 'E')",B
75,"('B', 'C', 'F')",C
76,"('B', 'I')",B
77,"('B', 'C', 'E', 'H')",H
78,"('B', 'G')",G
79,"('A', 'E', 'F')",A
80,"('F', 'G')",F
81,"('A', 'D', 'G')",G
82,"('D', 'F', 'I')",D
83,"('B', 'D', 'F', 'G')",D
84,"('D', 'G')",G
85,"('B', 'C', 'I')",I
86,"('C', 'D', 'H', 'I')",I
87,"('B', 'G')",B
88,"('B', 'C', 'E', 'G')",E
89,"('A', 'F', 'H', 'I')",A
90,"('E', 'G')",G
91,"('C', 'E', 'F', 'H')",E
92,"('D', 'G', 'I')",I
93,"('A', 'B', 'G', 'I')",G
94,"('C', 'D', 'F')",D
95,"('C', 'D', 'F', 'H')",H
96,"('A', 'B', 'C', 'E')",B
97,"('C', 'H', 'I')",C
98,"('B', 'C', 'H')",H
99,"('B', 'I')",B
100,"('E', 'G')",G
101,"('A', 'F')",F
102,"('B', 'C', 'G', 'I')",B
103,"('B', 'E', 'F', 'H')",E
104,"('B', 'G')",G
105,"('A', 'C', 'E', 'H')",E
106,"('C', 'D')",C
107,"('A', 'D', 'E', 'F')",F
108,"('B', 'F', 'H')",B
109,"('C', 'D', 'F', 'H')",C
110,"('B', 'D', 'G', 'I')",D
111,"('A', 'H')",H
112,"('D', 'H')",H
113,"('B', 'H')",H
114,"('D', 'F', 'G', 'I')",I
115,"('B', 'F', 'H', 'I')",I
116,"('B', 'C', 'H', 'I')",B
117,"('E', 'G', 'H')",H
118,"('D', 'G', 'H')",D
119,"('A', 'C', 'E', 'F')",A
120,"('B', 'D', 'E', 'H')",H
121,"('C', 'D', 'H')",C
122,"('F', 'I')",F
123,"('D', 'G')",D
124,"('B', 'E')",B
125,"('B', 'D', 'E')",E
126,"('A', 'F', 'H', 'I')",F
127,"('A', 'B', 'H', 'I')",H
128,"('D', 'E')",E
129,"('A', 'B', 'E', 'H')",H
130,"('B', 'G')",B
131,"('G', 'I')",G
132,"('D', 'F')",F
133,"('A', 'E', 'G', 'I')",E
134,"('C', 'F')",F
135,"('B', 'F', 'G', 'I')",I
136,"('E', 'I')",I
137,"('C', 'D', 'H', 'I')",C
138,"('B', 'E', 'F', 'I')",B
139,"('C', 'D', 'G', 'H')",H
140,"('A', 'B')",A
141,"('E', 'G')",E
142,"('D', 'I')",D
143,"('B', 'H', 'I')",I
144,"('C', 'D', 'E')",E
145,"('B', 'C', 'E', 'I')",E
146,"('B', 'C', 'D', 'H')",C
147,"('B', 'G')",G
148,"('C', 'H')",H
149,"('A', 'F')",A
150,"('A', 'D', 'I')",I
151,"('A', 'C')",C
152,"('E', 'F', 'I')",I
153,"('D', 'F')",F
154,"('A', 'B', 'D')",D
155,"('A', 'D', 'E')",E
156,"('B', 'C')",B
157,"('A', 'D', 'E')",A
158,"('A', 'C', 'E')",A
159,"('A', 'C', 'E', 'F')",F
160,"('B', 'F')",B
161,"('A', 'C')",A
162,"('A', 'D', 'G', 'H')",A
163,"('A', 'E', 'F')",F
164,"('D', 'E', 'F', 'I')",E
165,"('E', 'G')",E
166,"('A', 'F', 'I')",F
167,"('G', 'H')",G
168,"('B', 'G', 'H', 'I')",B
169,"('D', 'E')",E
170,"('B', 'C', 'G', 'I')",I
171,"('F', 'I')",I
172,"('D', 'E')",E
173,"('F', 'I')",F
174,"('E', 'G', 'H', 'I')",H
175,"('B', 'G')",B
176,"('G', 'H')",G
177,"('D', 'F', 'G', 'H')",D
178,"('A', 'B', 'H')",H
179,"('A', 'D', 'E')",D
